Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
474;Up in the Air;2009;Daniel Dubiecki, Ivan Reitman, and Jason Reitman;Nominee;2009;109;Comedy,Drama,Romance;Certified-Fresh;91.0;285.0;Upright;79.0;228473.0
475;The King's Speech;2010;Iain Canning, Emile Sherman, and Gareth Unwin;Winner;2010;118;Biography,Drama,History;Certified-Fresh;94.0;296.0;Upright;92.0;144575.0
476;127 Hours;2010;Danny Boyle, John Smithson, and Christian Colson;Nominee;2010;94;Biography,Drama;Certified-Fresh;93.0;235.0;Upright;85.0;95883.0
477;Black Swan;2010;Scott Franklin, Mike Medavoy, and Brian Oliver;Nominee;2010;108;Drama,Thriller;Certified-Fresh;85.0;309.0;Upright;84.0;178032.0
478;The Fighter;2010;David Hoberman, Todd Lieberman, and Mark Wahlberg;Nominee;2010;116;Biography,Drama,Sport;Certified-Fresh;90.0;250.0;Upright;89.0;121498.0
479;Inception;2010;Christopher Nolan and Emma Thomas;Nominee;2010;148;Action,Adventure,Sci-Fi;Certified-Fresh;87.0;357.0;Upright;91.0;571078.0
480;The Kids Are All Right;2010;Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray;Nominee;2010;106;Comedy,Drama,Romance;Certified-Fresh;92.0;224.0;Upright;74.0;63588.0
481;The Social Network;2010;Dana Brunetti, CeÃ¡n Chaffin, Michael De Luca, and Scott Rudin;Nominee;2010;120;Biography,Drama;Certified-Fresh;96.0;321.0;Upright;86.0;204126.0
482;Toy Story 3;2010;Darla K. Anderson;Nominee;2010;103;Animation,Adventure,Comedy;Certified-Fresh;98.0;307.0;Upright;89.0;607537.0
483;True Grit;2010;Joel Coen, Ethan Coen, and Scott Rudin;Nominee;2010;110;Drama,Western;Certified-Fresh;96.0;272.0;Upright;85.0;158268.0
484;Winter's Bone;2010;Alix Madigan and Anne Rosellini;Nominee;2010;100;Drama,Mystery;Certified-Fresh;94.0;174.0;Upright;76.0;51756.0
485;The Artist;2011;Thomas Langmann;Winner;2011;100;Comedy,Drama,Romance;Certified-Fresh;95.0;317.0;Upright;87.0;58629.0
486;The Descendants;2011;Jim Burke, Alexander Payne, and Jim Taylor;Nominee;2011;115;Comedy,Drama;Certified-Fresh;88.0;265.0;Upright;79.0;69968.0
487;Extremely Loud & Incredibly Close;2011;Scott Rudin;Nominee;2011;129;Adventure,Drama,Mystery;;;;;;
488;The Help;2011;Brunson Green, Chris Columbus, and Michael Barnathan;Nominee;2011;146;Drama;Certified-Fresh;76.0;227.0;Upright;89.0;107868.0
489;Hugo;2011;Graham King and Martin Scorsese;Nominee;2011;126;Drama,Family,Fantasy;Certified-Fresh;93.0;227.0;Upright;78.0;82865.0
490;Midnight in Paris;2011;Letty Aronson and Stephen Tenenbaum;Nominee;2011;94;Comedy,Fantasy,Romance;Certified-Fresh;93.0;224.0;Upright;83.0;82553.0
491;Moneyball;2011;Michael De Luca, Rachael Horovitz, and Brad Pitt;Nominee;2011;133;Biography,Drama,Sport;Certified-Fresh;94.0;266.0;Upright;86.0;91772.0
492;The Tree of Life;2011;Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill;Nominee;2011;139;Drama,Fantasy;Certified-Fresh;85.0;286.0;Upright;60.0;60899.0
493;War Horse;2011;Steven Spielberg and Kathleen Kennedy;Nominee;2011;146;Action,Adventure,Drama;Certified-Fresh;75.0;237.0;Upright;74.0;69714.0
494;Argo;2012;Grant Heslov, Ben Affleck, and George Clooney;Winner;2012;120;Biography,Drama,Thriller;Certified-Fresh;96.0;356.0;Upright;90.0;208711.0
495;Amour;2012;Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz;Nominee;2012;127;Drama;Certified-Fresh;93.0;223.0;Upright;82.0;20897.0
496;Beasts of the Southern Wild;2012;Dan Janvey, Josh Penn, and Michael Gottwald;Nominee;2012;93;Adventure,Drama,Fantasy;Certified-Fresh;87.0;204.0;Upright;76.0;39335.0
497;Django Unchained;2012;Stacey Sher, Reginald Hudlin, and Pilar Savone;Nominee;2012;165;Drama,Western;Certified-Fresh;87.0;288.0;Upright;91.0;429231.0
498;Life of Pi;2012;Gil Netter, Ang Lee, and David Womark;Nominee;2012;127;Adventure,Drama,Fantasy;;;;;;
